artikel;description;menge;datum;note;time_work;w;h;w2;artikel_split;artikel_split_2_x;Artikel;artikel_split_2_y;Menge;FachName
KT00001200500B002;KT B1200T500 (400|400|400);20;14.08.2025;;0.3;50;1196;500;KT00001200500;002;KT00001200500A002;002;400.0;L9000.7.3.3
KT00001200500B002;KT B1200T500 (400|400|400);20;14.08.2025;;0.3;50;1196;500;KT00001200500;002;KT00001200500A002;002;320.0;L9000.5.4.4
KT00001200500B002;KT B1200T500 (400|400|400);20;14.08.2025;;0.3;50;1196;500;KT00001200500;002;KT00001200500A002;002;162.0;L9000.8.1.6
KT00001200500B002;KT B1200T500 (400|400|400);20;14.08.2025;;0.3;50;1196;500;KT00001200500;002;KT00001200500A001;001;400.0;L9000.2.3.3
KT00001200500B002;KT B1200T500 (400|400|400);20;14.08.2025;;0.3;50;1196;500;KT00001200500;002;KT00001200500A001;001;236.0;L9000.11.09.01
166650-3E;RT,re.-105,SD200 mm verz.;10;14.08.2025;;0.13;1893;0;596;166650;3E;166650-2;2;59.0;L9000.17.02.01
166650-3E;RT,re.-105,SD200 mm verz.;10;14.08.2025;;0.13;1893;0;596;166650;3E;166650-2;2;200.0;L9000.20.03.08
166650-3E;RT,re.-105,SD200 mm verz.;10;14.08.2025;;0.13;1893;0;596;166650;3E;166650-11E;11E;30.0;L9000.3.3.1
205185-3;Tür 130144 re.Ergolock-Neu bea;50;14.08.2025;;0.75;1862;460;0;205185;3;205185-2;2;50.0;Station 05
168321-3E;RT links,200 mm SD verzinkt;10;14.08.2025;;0.13;1893;0;596;168321;3E;168321-11E;11E;96.0;L9000.08.09.04
168321-3E;RT links,200 mm SD verzinkt;10;14.08.2025;;0.13;1893;0;596;168321;3E;168321-11E;11E;36.0;L9000.3.2.4
168321-3E;RT links,200 mm SD verzinkt;10;14.08.2025;;0.13;1893;0;596;168321;3E;168321-11;11;76.0;L9000.12.03.05
FT00000800500B002;FT B0800T500 (400|400);20;14.08.2025;;0.53;62;798;499;FT00000800500;002;FT00000800500A007;007;29.0;L9000.1.1.3
FT00000800500B002;FT B0800T500 (400|400);20;14.08.2025;;0.53;62;798;499;FT00000800500;002;FT00000800500A002E;002E;5.0;L9000.10.01.03
FT00000800500B002;FT B0800T500 (400|400);20;14.08.2025;;0.53;62;798;499;FT00000800500;002;FT00000800500A002;002;400.0;L9000.3.2.2
FT00000800500B002;FT B0800T500 (400|400);20;14.08.2025;;0.53;62;798;499;FT00000800500;002;FT00000800500A002;002;47.0;L9000.10.04.06
140220-3;Fussteil -40 bearb. EVOLO;76;18.08.2025;;0.87;0;1187;499;140220;3;140220-11;11;55.0;L9000.5.1.6
140220-3;Fussteil -40 bearb. EVOLO;76;18.08.2025;;0.87;0;1187;499;140220;3;140220-11;11;200.0;L9000.18.04.03
614964924818B;TW 2000mm hoch/SD100mm Dopp.;50;18.08.2025;;0.51;1923;0;596;614964924818;;614964924818A;;86.0;L9000.6.3.2
88KT07100500B02;KT -22, Abt.Br 350mm SD 100mm;74;18.08.2025;;0.8;0;707;630;88KT07100500;02;88KT07100500A03;03;12.0;L9000.7.4.1
178500-111;Rumpfteil re.8901 bearb.;27;18.08.2025 13:30:00;;0.68;2016;0;679;178500;111;178500-11;11;80.0;L9000.9.2.4
187000-111;Rumpfteil li.bearb.;30;18.08.2025 18:30:00;;0.75;2016;0;679;187000;111;187000-11;11;60.0;L9000.1.2.3
104300-2;Tür 8010 rechts, gekantet;200;20.08.2025 13:30:00;;2.78;1601;255;0;104300;2;104300-11E;11E;84.0;L9000.9.3.1
104300-2;Tür 8010 rechts, gekantet;200;20.08.2025 13:30:00;;2.78;1601;255;0;104300;2;104300-11;11;156.0;L9000.5.4.7
104300-2;Tür 8010 rechts, gekantet;200;20.08.2025 13:30:00;;2.78;1601;255;0;104300;2;104300-11;11;200.0;L9000.11.09.06
104300-2;Tür 8010 rechts, gekantet;200;20.08.2025 13:30:00;;2.78;1601;255;0;104300;2;104300-11;11;200.0;L9000.21.04.06
168240-3;Kopfteil 8010-20,200 mm SD,bea;35;21.08.2025;;0.44;0;607;648;168240;3;168240-2;2;35.0;L9000.7.1.2
168190-3;Kopfteil 8010-40,200 mm SD,bea;40;21.08.2025;;0.5;0;1187;648;168190;3;168190-2;2;40.0;L9000.19.04.03
162520-3;Mittelteil 48056-40 hint bearb;20;11.07.2025;;0.26;383;1187;0;162520;3;162520-2;2;162.0;L9000.20.04.04
614964924816B;RT li.2000mm hoch/SD100 Dopp.;40;11.07.2025;;0.52;1993;0;596;614964924816;;;;;
614964924817B;RT re.2000mm hoch/SD100 Dopp.;40;11.07.2025;;0.52;1993;0;596;614964924817;;614964924817A;;200.0;L9000.05.09.03
614964924817B;RT re.2000mm hoch/SD100 Dopp.;40;11.07.2025;;0.52;1993;0;596;614964924817;;614964924817A;;38.0;L9000.12.02.03
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361-2E;2E;132.0;L9000.7.3.1
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361-2E;2E;15.0;L9000.12.03.02
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361-2;2;167.0;Station 610
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361-2;2;173.0;Station 610
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361-2;2;56.0;Station 610
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;20.0;L9000.10.01.04
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;136.0;L9000.10.01.06
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;167.0;L9000.4.2.5
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;151.0;L9000.2.2.3
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;152.0;L9000.12.02.08
137361-3E;RT 8010 links, elo.verz.bearb;65;11.07.2025;;0.85;1700;0;500;137361;3E;137361;;167.0;L9000.6.4.8
169030-3E;RT 8010-105 rechts,verz.bearb;65;11.07.2025;;0.85;1700;0;500;169030;3E;169030-2E;2E;132.0;L9000.7.3.1
169030-3E;RT 8010-105 rechts,verz.bearb;65;11.07.2025;;0.85;1700;0;500;169030;3E;169030-2;2;56.0;Station 615
169030-3E;RT 8010-105 rechts,verz.bearb;65;11.07.2025;;0.85;1700;0;500;169030;3E;169030-2;2;146.0;Station 615
614964924818B;TW 2000mm hoch/SD100mm Dopp.;40;14.07.2025;;0.41;1923;0;596;614964924818;;614964924818A;;30.0;L9000.17.03.01
140220-3E;FUSSTEIL -40 EVOLO verz.bearb;50;14.07.2025;;0.57;0;1187;499;140220;3E;140220-2E;2E;50.0;L9000.18.01.01
140220-3E;FUSSTEIL -40 EVOLO verz.bearb;50;14.07.2025;;0.57;0;1187;499;140220;3E;140220-2;2;200.0;Station 03
180690-3;Fußteil 48012-40,EVOLO be.(L);38;14.07.2025;;0.43;0;1187;499;180690;3;180690-2E;2E;50.0;L9000.15.01.03
180690-3;Fußteil 48012-40,EVOLO be.(L);38;14.07.2025;;0.43;0;1187;499;180690;3;180690-2E;2E;20.0;L9000.4.1.4
180690-3;Fußteil 48012-40,EVOLO be.(L);38;14.07.2025;;0.43;0;1187;499;180690;3;180690-11;11;144.0;L9000.16.01.08
180690-3;Fußteil 48012-40,EVOLO be.(L);38;14.07.2025;;0.43;0;1187;499;180690;3;180690-11;11;201.0;L9000.17.04.04
88KT07100500B02;KT -22, Abt.Br 350mm SD 100mm;40;14.07.2025;;0.43;0;707;630;88KT07100500;02;88KT07100500A03;03;12.0;L9000.7.4.1
88KT07100500B02;KT -22, Abt.Br 350mm SD 100mm;40;14.07.2025;;0.43;0;707;630;88KT07100500;02;88KT07100500A01;01;150.0;L9000.9.2.3
180670-3;Fußt.-22 Evolo350mm LIDL bea.;32;14.07.2025;;0.36;0;707;499;180670;3;180670-2;2;50.0;L9000.9.2.1
KT00000800500B002;KT B0800T500 (400|400);30;14.07.2025;;0.38;50;796;500;KT00000800500;002;KT00000800500A002;002;80.0;L9000.2.4.2
KT00000800500B002;KT B0800T500 (400|400);30;14.07.2025;;0.38;50;796;500;KT00000800500;002;KT00000800500A002;002;250.0;L9000.2.4.2
KT00000800500B002;KT B0800T500 (400|400);30;14.07.2025;;0.38;50;796;500;KT00000800500;002;KT00000800500A002;002;30.0;Station 08
KT00000800500B002;KT B0800T500 (400|400);30;14.07.2025;;0.38;50;796;500;KT00000800500;002;KT00000800500A002;002;158.0;L9000.11.04.02
KT00000800500B002;KT B0800T500 (400|400);30;14.07.2025;;0.38;50;796;500;KT00000800500;002;KT00000800500A001E;001E;4.0;L9000.10.01.03
KT00001200500B001E;Kopfteil 4Abteil PL1 verz.;3;14.07.2025;;0.04;50;1197;500;KT00001200500;001E;KT00001200500A002;002;340.0;L9000.2.3.8
KT00001200500B001E;Kopfteil 4Abteil PL1 verz.;3;14.07.2025;;0.04;50;1197;500;KT00001200500;001E;KT00001200500A002;002;162.0;L9000.6.2.2
KT00001200500B001E;Kopfteil 4Abteil PL1 verz.;3;14.07.2025;;0.04;50;1197;500;KT00001200500;001E;KT00001200500A001;001;400.0;L9000.2.3.3
KT00001200500B001E;Kopfteil 4Abteil PL1 verz.;3;14.07.2025;;0.04;50;1197;500;KT00001200500;001E;KT00001200500A001;001;400.0;L9000.2.3.3
KT00001200500B001E;Kopfteil 4Abteil PL1 verz.;3;14.07.2025;;0.04;50;1197;500;KT00001200500;001E;KT00001200500A001;001;39.0;L9000.01.09.01
176660-111;Tür li.innen 1180 bearb.;34;14.07.2025;;0.68;1793;598;0;176660;111;176660-11;11;34.0;L9000.17.03.03
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A003;003;16.0;L9000.6.4.5
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A002;002;200.0;L9000.2.4.7
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A002;002;136.0;L9000.1.1.1
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A002;002;200.0;L9000.12.04.08
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A001E;001E;11.0;Station 08
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A001;001;144.0;L9000.2.3.1
KT00000600500B001E;KT B0600T500 (600) verzinkt;10;14.07.2025;;0.12;50;597;500;KT00000600500;001E;KT00000600500A001;001;144.0;L9000.06.09.02
488TL18010287B01;Tür,li.48012-20,1801mm VERZ;18;15.07.2025;;0.42;1801;287;0;488TL18010287;01;488TL18010287A01;01;18.0;L9000.21.02.02
488TR18010255B01;Tür,re.48010-10,1801mm VERZ;18;15.07.2025;;0.42;1801;255;0;488TR18010255;01;488TR18010255A01;01;18.0;L9000.15.02.03
200781-111;Tür li.m.Ovalschl. 2 Lochr.bea;42;15.07.2025;;0.63;1855;509;0;200781;111;200781-11;11;42.0;L9000.7.2.1
142830-3;Fussteil -22 bearb. EVOLO;76;15.07.2025;;0.87;0;807;499;142830;3;142830-11;11;198.0;L9000.10.04.04
142830-3;Fussteil -22 bearb. EVOLO;76;15.07.2025;;0.87;0;807;499;142830;3;142830-11;11;200.0;Station 01
162410-3;Mittelteil 48056-20 vorn bearb;10;15.07.2025;;0.13;478;607;0;162410;3;162410-2;2;85.0;L9000.18.01.02
140210-3E;FUSSTEIL -30 EVOLO verz.bearb.;3;15.07.2025;;0.03;0;897;499;140210;3E;140210-2E;2E;33.0;L9000.2.1.1
140210-3E;FUSSTEIL -30 EVOLO verz.bearb.;3;15.07.2025;;0.03;0;897;499;140210;3E;140210-11;11;130.0;Station 04
140210-3E;FUSSTEIL -30 EVOLO verz.bearb.;3;15.07.2025;;0.03;0;897;499;140210;3E;140210-11;11;200.0;L9000.7.4.5
102570-111;RÜCKWAND BEARBEITET;20;15.07.2025;;0.17;0;617;1872;102570;111;102570-111;111;3.0;L9000.22.02.01
102570-111;RÜCKWAND BEARBEITET;20;15.07.2025;;0.17;0;617;1872;102570;111;102570-11;11;51.0;L9000.4.3.1
202091-3E;Tür links 48012-22 Abluft verz;10;16.07.2025;;0.26;1601;387;0;202091;3E;202091-2E;2E;10.0;L9000.9.2.2
488TR16010255B01;Tür EVOLO,re.300 mm LS300;48;16.07.2025;;1.35;1601;255;0;488TR16010255;01;488TR16010255A02;02;48.0;L9000.6.2.2
140220-3;Fussteil -40 bearb. EVOLO;38;16.07.2025;;0.43;0;1187;499;140220;3;140220-2E;2E;50.0;L9000.18.01.01
140220-3;Fussteil -40 bearb. EVOLO;38;16.07.2025;;0.43;0;1187;499;140220;3;140220-2;2;200.0;Station 03
180690-3;Fußteil 48012-40,EVOLO be.(L);38;16.07.2025;;0.43;0;1187;499;180690;3;180690-2E;2E;50.0;L9000.15.01.03
180690-3;Fußteil 48012-40,EVOLO be.(L);38;16.07.2025;;0.43;0;1187;499;180690;3;180690-2E;2E;20.0;L9000.4.1.4
180690-3;Fußteil 48012-40,EVOLO be.(L);38;16.07.2025;;0.43;0;1187;499;180690;3;180690-11;11;144.0;L9000.16.01.08
180690-3;Fußteil 48012-40,EVOLO be.(L);38;16.07.2025;;0.43;0;1187;499;180690;3;180690-11;11;201.0;L9000.17.04.04
142840-3E;Fussteil -32 gest. EVOLO verz.;23;16.07.2025;;0.26;0;1197;499;142840;3E;142840-11;11;220.0;Station 02
142840-3E;Fussteil -32 gest. EVOLO verz.;23;16.07.2025;;0.26;0;1197;499;142840;3E;142840-11;11;145.0;Station 03
488MT03841197B01;Mittelt.48050-32,vorn.LB EVOLO;6;16.07.2025;;0.08;478;1197;0;488MT03841197;01;488MT03841197A01;01;6.0;L9000.8.4.2
180720-3;Fußteil 48012-20,EVOLO be.(L);38;16.07.2025;;0.43;0;607;499;180720;3;180720-11;11;200.0;L9000.4.4.1
180720-3;Fußteil 48012-20,EVOLO be.(L);38;16.07.2025;;0.43;0;607;499;180720;3;180720-11;11;49.0;Station 01
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A005;005;32.0;L9000.16.01.07
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A005;005;21.0;L9000.01.09.04
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A002;002;286.0;L9000.11.04.01
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A002;002;336.0;L9000.2.3.5
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A001;001;150.0;L9000.3.3.2
FT00001200500B002;FT B1200T500 (400|400|400);20;16.07.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A001;001;300.0;L9000.2.2.1
169050-3;Trennwand,feststehend bearb.;100;17.07.2025;;1.17;1300;0;450;169050;3;169050-2;2;200.0;L9000.21.01.06
169050-3;Trennwand,feststehend bearb.;100;17.07.2025;;1.17;1300;0;450;169050;3;169050-2;2;126.0;L9000.11.01.02
169050-3;Trennwand,feststehend bearb.;100;17.07.2025;;1.17;1300;0;450;169050;3;169050;;57.0;L9000.20.01.03
169050-3;Trennwand,feststehend bearb.;100;17.07.2025;;1.17;1300;0;450;169050;3;169050;;69.0;L9000.21.04.03
114825-111;Kopfteil 8934 bearb.;14;17.07.2025;;0.2;0;1186;885;114825;111;114825-11;11;134.0;L9000.7.4.7
176940-111;Kopfteil innen 1170 bearb.Neu;22;24.07.2025;;0.29;0;904;579;176940;111;;;;
142832-3;FT-22 Evolo 3Rieg li.m. Anschl;3;29.07.2025 17:15:00;;0.03;0;807;499;142832;3;142832-2;2;30.0;L9000.4.1.1
121460-3;Rückwand bearbeitet;12;31.07.2025 16:00:00;;0.2;2006;1034;0;121460;3;;;;
